year,Mass. median household income,Mass. single-family homes median sales price,Mass. condos median sales price
2000,46753,216000,175000
2001,52253,255000,167500
2002,49855,292250,142500
2003,50955,332000,195000
2004,52019,369000,200000
2005,56017,382500,192500
2006,55330,365000,197500
2007,58463,355000,237000
2008,60320,310000,230000
2009,59373,310000,208633.5
2010,62072,329800,230000
2011,62859,325000,300000
2012,65339,340000,350000
2013,66768,388250,350000
2014,69160,427392.5,375200
2015,70628,443000,438750
2016,75297,480000,477750
2017,77385,540000,510000
2018,79835,580500,518000
2019,85843,605000,527000
2020,84385,660000,550000
2021,86725,735000,557134.5
2022,94488,770000,589000
