ST_NUM,ST_NAME,CITY,ZIP_CODE,TOTAL_VALUE,Year,long,lat
15.0,ST GERMAIN ST,BOSTON,2115,"1,694,800.00",1/1/2024,-71.0863842,42.3457113
17.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.0862913,42.34569550000001
19.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.08601279999999,42.3456479
21.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.0861408,42.3456682
23.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.08606619999999,42.3456575
25.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.0859931,42.3456474
27.0,ST GERMAIN ST,BOSTON,2115,"1,512,200.00",1/1/2024,-71.0859199,42.3456321
29.0,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/2024,-71.0858271,42.3456534
31.0,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/2024,-71.085769,42.3456156
33.0,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/2024,-71.0856878,42.3455925
35.0,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/2024,-71.0855949,42.3455767
37.0,ST GERMAIN ST,BOSTON,2115,"1,414,938.00",1/1/2024,-71.0855021,42.345598
39.0,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/2024,-71.0854441,42.3455602
41.0,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/2024,-71.0853628,42.3455371
43.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.08527,42.3455584
45.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.08521189999999,42.3455392
47.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.08508429999999,42.3455267
49.0,ST GERMAIN ST,BOSTON,2115,"1,734,800.00",1/1/2024,-71.0850109,42.3455061
51.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.08499139999999,42.3455108
53.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.0849102,42.3454877
55.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.0848405,42.3454758
57.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.0847593,42.3454712
59.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.0846262,42.3454683
61.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.0845916,42.3455108
63.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.08453879999999,42.34544289999999
65.0,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/2024,-71.0844807,42.3454237
67.0,ST GERMAIN ST,BOSTON,2115,"4,082,517.00",1/1/2024,-71.0842718,42.3453695
60.0,ST GERMAIN ST,BOSTON,2115,"1,690,381.00",1/1/2024,-71.0847361,42.34574569999999
58.0,ST GERMAIN ST,BOSTON,2115,"1,685,808.00",1/1/2024,-71.0847379,42.3457395
56.0,ST GERMAIN ST,BOSTON,2115,"1,362,362.00",1/1/2024,-71.08485209999999,42.3457098
54.0,ST GERMAIN ST,BOSTON,2115,"1,374,934.00",1/1/2024,-71.0849102,42.3457476
52.0,ST GERMAIN ST,BOSTON,2115,"1,401,000.00",1/1/2024,-71.08499139999999,42.3457336
50.0,ST GERMAIN ST,BOSTON,2115,"1,533,000.00",1/1/2024,-71.0850495,42.3457714
48.0,ST GERMAIN ST,BOSTON,2115,"1,371,506.00",1/1/2024,-71.0851307,42.3457945
