,ST_NUM,ST_NAME,mapboxid,TOTAL_VALUE,yr,PercentChg
0,203,ST BOTOLPH ST,405404594,676500,2010,0.0
1,201,ST BOTOLPH ST,405404621,574300,2010,0.0
2,199,ST BOTOLPH ST,405404698,2249885,2010,0.0
3,197,ST BOTOLPH ST,405404570,692100,2010,0.0
4,195,ST BOTOLPH ST,405404611,588700,2010,0.0
5,193,ST BOTOLPH ST,405404635,695600,2010,0.0
6,191,ST BOTOLPH ST,405404564,601400,2010,0.0
7,189,ST BOTOLPH ST,405404609,1745500,2010,0.0
8,187,ST BOTOLPH ST,405404633,1233500,2010,0.0
9,185,ST BOTOLPH ST,405404607,1371500,2010,0.0
10,183,ST BOTOLPH ST,405404568,1139000,2010,0.0
11,181,ST BOTOLPH ST,405404658,491800,2010,0.0
12,179,ST BOTOLPH ST,405404614,1068000,2010,0.0
13,177,ST BOTOLPH ST,405404590,1257000,2010,0.0
14,175,ST BOTOLPH ST,405404663,714500,2010,0.0
15,173,ST BOTOLPH ST,405404639,948500,2010,0.0
16,171,ST BOTOLPH ST,405404643,839000,2010,0.0
17,169,ST BOTOLPH ST,405404619,1257000,2010,0.0
18,161,ST BOTOLPH ST,405404575,1507000,2010,0.0
19,15,ST GERMAIN ST,9668799,791100,2010,0.0
20,17,ST GERMAIN ST,9668798,688414,2010,0.0
21,19,ST GERMAIN ST,9668797,688414,2010,0.0
22,21,ST GERMAIN ST,9668796,688414,2010,0.0
23,23,ST GERMAIN ST,9668795,688414,2010,0.0
24,25,ST GERMAIN ST,9668794,688414,2010,0.0
25,27,ST GERMAIN ST,9668793,772500,2010,0.0
26,29,ST GERMAIN ST,9668792,773540,2010,0.0
27,31,ST GERMAIN ST,9668791,773540,2010,0.0
28,33,ST GERMAIN ST,9668790,773540,2010,0.0
29,35,ST GERMAIN ST,9668789,773540,2010,0.0
30,37,ST GERMAIN ST,9668788,773540,2010,0.0
31,39,ST GERMAIN ST,9668787,773540,2010,0.0
32,41,ST GERMAIN ST,9668786,773540,2010,0.0
33,43,ST GERMAIN ST,9668785,688414,2010,0.0
34,45,ST GERMAIN ST,9668784,688414,2010,0.0
35,47,ST GERMAIN ST,9668783,688414,2010,0.0
36,49,ST GERMAIN ST,9668782,632900,2010,0.0
37,51,ST GERMAIN ST,9668781,688414,2010,0.0
38,53,ST GERMAIN ST,9668780,688414,2010,0.0
39,55,ST GERMAIN ST,9668779,688414,2010,0.0
40,57,ST GERMAIN ST,9668778,688414,2010,0.0
41,59,ST GERMAIN ST,9668777,688414,2010,0.0
42,61,ST GERMAIN ST,9668776,688414,2010,0.0
43,63,ST GERMAIN ST,9668775,688414,2010,0.0
44,65,ST GERMAIN ST,9668774,688414,2010,0.0
45,67,ST GERMAIN ST,9668773,2235493,2010,0.0
46,8,ST GERMAIN ST,9668772,718023,2010,0.0
47,10,ST GERMAIN ST,9668771,751333,2010,0.0
48,12,ST GERMAIN ST,9668770,751333,2010,0.0
49,14,ST GERMAIN ST,9668769,751333,2010,0.0
50,16,ST GERMAIN ST,9668768,751333,2010,0.0
51,18,ST GERMAIN ST,9668767,751333,2010,0.0
52,20,ST GERMAIN ST,9668766,751333,2010,0.0
53,22,ST GERMAIN ST,9668765,751333,2010,0.0
54,24,ST GERMAIN ST,9668764,751333,2010,0.0
55,26,ST GERMAIN ST,9668763,751333,2010,0.0
56,28,ST GERMAIN ST,9668762,751333,2010,0.0
57,30,ST GERMAIN ST,9668761,751333,2010,0.0
58,32,ST GERMAIN ST,9668760,751333,2010,0.0
59,34,ST GERMAIN ST,9668759,751333,2010,0.0
60,36,ST GERMAIN ST,9668758,751333,2010,0.0
61,38,ST GERMAIN ST,9668757,751333,2010,0.0
62,40,ST GERMAIN ST,9668756,751333,2010,0.0
63,42,ST GERMAIN ST,9668755,751333,2010,0.0
64,44,ST GERMAIN ST,9668754,751333,2010,0.0
65,46,ST GERMAIN ST,9668753,720900,2010,0.0
66,48,ST GERMAIN ST,9668752,751333,2010,0.0
67,50,ST GERMAIN ST,9668751,651500,2010,0.0
68,52,ST GERMAIN ST,9668750,801500,2010,0.0
69,54,ST GERMAIN ST,9668749,751333,2010,0.0
70,56,ST GERMAIN ST,9668748,747633,2010,0.0
71,58,ST GERMAIN ST,15666798,921587,2010,0.0
72,60,ST GERMAIN ST,15666797,925288,2010,0.0
73,203,ST BOTOLPH ST,405404594,676500,2011,0.0
74,201,ST BOTOLPH ST,405404621,574300,2011,0.0
75,199,ST BOTOLPH ST,405404698,2294820,2011,0.019972131908964234
76,197,ST BOTOLPH ST,405404570,692100,2011,0.0
77,195,ST BOTOLPH ST,405404611,619900,2011,0.05299813147613385
78,193,ST BOTOLPH ST,405404635,695600,2011,0.0
79,191,ST BOTOLPH ST,405404564,601400,2011,0.0
80,189,ST BOTOLPH ST,405404609,1706000,2011,-0.022629619020338013
81,187,ST BOTOLPH ST,405404633,1205500,2011,-0.022699635184434536
82,185,ST BOTOLPH ST,405404607,1340000,2011,-0.022967553773240976
83,183,ST BOTOLPH ST,405404568,1114000,2011,-0.021949078138718173
84,181,ST BOTOLPH ST,405404658,491800,2011,0.0
85,179,ST BOTOLPH ST,405404614,1045000,2011,-0.02153558052434457
86,177,ST BOTOLPH ST,405404590,1228500,2011,-0.022673031026252982
87,175,ST BOTOLPH ST,405404663,649600,2011,-0.09083275017494752
88,173,ST BOTOLPH ST,405404639,926500,2011,-0.02319451765946231
89,171,ST BOTOLPH ST,405404643,847000,2011,0.009535160905840286
90,169,ST BOTOLPH ST,405404619,1228500,2011,-0.022673031026252982
91,161,ST BOTOLPH ST,405404575,1537200,2011,0.020039814200398142
92,15,ST GERMAIN ST,9668799,783100,2011,-0.010112501580078372
93,17,ST GERMAIN ST,9668798,671795,2011,-0.024140996551493724
94,19,ST GERMAIN ST,9668797,671795,2011,-0.024140996551493724
95,21,ST GERMAIN ST,9668796,671795,2011,-0.024140996551493724
96,23,ST GERMAIN ST,9668795,671795,2011,-0.024140996551493724
97,25,ST GERMAIN ST,9668794,671795,2011,-0.024140996551493724
98,27,ST GERMAIN ST,9668793,834400,2011,0.0801294498381877
99,29,ST GERMAIN ST,9668792,754866,2011,-0.024140962329032758
100,31,ST GERMAIN ST,9668791,754866,2011,-0.024140962329032758
101,33,ST GERMAIN ST,9668790,754866,2011,-0.024140962329032758
102,35,ST GERMAIN ST,9668789,754866,2011,-0.024140962329032758
103,37,ST GERMAIN ST,9668788,754866,2011,-0.024140962329032758
104,39,ST GERMAIN ST,9668787,754866,2011,-0.024140962329032758
105,41,ST GERMAIN ST,9668786,754866,2011,-0.024140962329032758
106,43,ST GERMAIN ST,9668785,671795,2011,-0.024140996551493724
107,45,ST GERMAIN ST,9668784,671795,2011,-0.024140996551493724
108,47,ST GERMAIN ST,9668783,671795,2011,-0.024140996551493724
109,49,ST GERMAIN ST,9668782,626600,2011,-0.009954179175225154
110,51,ST GERMAIN ST,9668781,671795,2011,-0.024140996551493724
111,53,ST GERMAIN ST,9668780,671795,2011,-0.024140996551493724
112,55,ST GERMAIN ST,9668779,671795,2011,-0.024140996551493724
113,57,ST GERMAIN ST,9668778,671795,2011,-0.024140996551493724
114,59,ST GERMAIN ST,9668777,671795,2011,-0.024140996551493724
115,61,ST GERMAIN ST,9668776,671795,2011,-0.024140996551493724
116,63,ST GERMAIN ST,9668775,671795,2011,-0.024140996551493724
117,65,ST GERMAIN ST,9668774,671795,2011,-0.024140996551493724
118,67,ST GERMAIN ST,9668773,2181526,2011,-0.024140983666690076
119,8,ST GERMAIN ST,9668772,700689,2011,-0.024141287953171418
120,10,ST GERMAIN ST,9668771,733195,2011,-0.024141093230298682
121,12,ST GERMAIN ST,9668770,733195,2011,-0.024141093230298682
122,14,ST GERMAIN ST,9668769,733195,2011,-0.024141093230298682
123,16,ST GERMAIN ST,9668768,733195,2011,-0.024141093230298682
124,18,ST GERMAIN ST,9668767,733195,2011,-0.024141093230298682
125,20,ST GERMAIN ST,9668766,733195,2011,-0.024141093230298682
126,22,ST GERMAIN ST,9668765,733195,2011,-0.024141093230298682
127,24,ST GERMAIN ST,9668764,733195,2011,-0.024141093230298682
128,26,ST GERMAIN ST,9668763,733195,2011,-0.024141093230298682
129,28,ST GERMAIN ST,9668762,733195,2011,-0.024141093230298682
130,30,ST GERMAIN ST,9668761,733195,2011,-0.024141093230298682
131,32,ST GERMAIN ST,9668760,733195,2011,-0.024141093230298682
132,34,ST GERMAIN ST,9668759,733195,2011,-0.024141093230298682
133,36,ST GERMAIN ST,9668758,733195,2011,-0.024141093230298682
134,38,ST GERMAIN ST,9668757,733195,2011,-0.024141093230298682
135,40,ST GERMAIN ST,9668756,733195,2011,-0.024141093230298682
136,42,ST GERMAIN ST,9668755,733195,2011,-0.024141093230298682
137,44,ST GERMAIN ST,9668754,733195,2011,-0.024141093230298682
138,46,ST GERMAIN ST,9668753,713600,2011,-0.010126231100013872
139,48,ST GERMAIN ST,9668752,733195,2011,-0.024141093230298682
140,50,ST GERMAIN ST,9668751,645000,2011,-0.009976976208749041
141,52,ST GERMAIN ST,9668750,775000,2011,-0.0330630068621335
142,54,ST GERMAIN ST,9668749,733195,2011,-0.024141093230298682
143,56,ST GERMAIN ST,9668748,729584,2011,-0.024141523983023758
144,58,ST GERMAIN ST,15666798,899339,2011,-0.02414096553011273
145,60,ST GERMAIN ST,15666797,902950,2011,-0.02414167264678673
146,203,ST BOTOLPH ST,405404594,676500,2012,0.0
147,201,ST BOTOLPH ST,405404621,574300,2012,0.0
148,199,ST BOTOLPH ST,405404698,2434375,2012,0.08199974665371786
149,197,ST BOTOLPH ST,405404570,692100,2012,0.0
150,195,ST BOTOLPH ST,405404611,619900,2012,0.05299813147613385
151,193,ST BOTOLPH ST,405404635,695600,2012,0.0
152,191,ST BOTOLPH ST,405404564,652800,2012,0.08546724309943465
153,189,ST BOTOLPH ST,405404609,1841500,2012,0.054998567745631624
154,187,ST BOTOLPH ST,405404633,1233500,2012,0.0
155,185,ST BOTOLPH ST,405404607,1371500,2012,0.0
156,183,ST BOTOLPH ST,405404568,1139000,2012,0.0
157,181,ST BOTOLPH ST,405404658,491700,2012,-0.00020333468889792598
158,179,ST BOTOLPH ST,405404614,1068000,2012,0.0
159,177,ST BOTOLPH ST,405404590,1257000,2012,0.0
160,175,ST BOTOLPH ST,405404663,621800,2012,-0.129741077676697
161,173,ST BOTOLPH ST,405404639,948500,2012,0.0
